"Question","Answer"
"2. What is the Drop/Add period, and until when can students make schedule changes through DukeHub?","The Drop/Add period is a specific timeframe at the beginning of the semester during which students can make schedule changes to their courses. For AIPI students, they can make schedule changes through DukeHub until the end of the second week of classes."
"3. What is the process for making schedule changes after the end of the Drop/Add period, according to the text?","According to the text, after the end of the Drop/Add period, changes to a student's schedule would require permission from the dean."
"4. When is the last day to register for Fall 2021 classes as stated in the text?","The last day to register for Fall 2021 classes as stated in the text is the end of the Drop/Add period on September 3, 2021."
"5. What actions are required for students to take advantage of the option for a fifth credit for free?","To take advantage of the option for a fifth credit for free as a full-time residential student at AIPI, students need to ensure they are within the allowed limit of 15.0 credits per semester and then simply register for the fifth credit before the end of the Drop/Add period. No additional actions are required as long as the students meet the eligibility criteria and register for the fifth credit within the specified timeframe."
"1. What are the key differences between the 12-month and 16-month plans for Campus students in the AIPI Program?","The key differences between the 12-month and 16-month plans for Campus students in the AIPI Program are not explicitly mentioned in the summary provided. Would you like me to help you find more information on this topic?"
"2. When do the Fall 2021 classes start for students in the AIPI Program?","The Fall 2021 classes for students in the AIPI Program start sometime during the Fall of 2021. The summary does not provide a specific date for the start of classes."
"3. Can you elaborate on the class meeting patterns mentioned in the text?","Certainly! The text mentions class meeting patterns, which likely refers to the schedule and structure of the classes for the Fall 2021 semester. Class meeting patterns could include information such as the days of the week classes are held, the times classes take place, whether classes are held synchronously (live, real-time sessions) or asynchronously (recorded sessions), and any recurring patterns in the class schedule (e.g., weekly lectures, bi-weekly seminars, etc.). This information helps students understand how their classes are organized and when they are expected to attend."
"4. How much time outside of class is required for AIPI courses in the Campus program?","The summary mentions that the text provides information on the required time outside class for AIPI courses. Unfortunately, it does not specify the exact number of hours or duration of time required outside of class for AIPI courses in the Campus program. For this detailed information, please refer to the original text or additional materials related to the AIPI Program in the Campus."
"5. What will be the format of classes for Fall 2021 - in-person, online, or a mix of both?","The text indicates that the format of classes for Fall 2021 could be in-person, online, or a mix of both."
"1. How has the COVID-19 pandemic impacted travel and visa issues for international students at AIPI?","The COVID-19 pandemic has affected travel and visa issues for international students at AIPI by mandating that F-1 visa holders must take at least one in-person class per semester to comply with US government guidance. Additionally, classes for Fall 2021 at AIPI will be offered in-person and online, and students in Durham, NC, USA, are expected to attend in-person classes unless isolating."
"2. What are the options for classes in the Fall 2021 semester at AIPI, and how are they being offered?","The options for classes in the Fall 2021 semester at AIPI include in-person and online classes. Classes will be offered in-person and online to accommodate different preferences and circumstances of students. Students in Durham, NC, USA, are expected to attend in-person classes unless they are isolating."
"3. What is the attendance expectation for students in Durham, NC, USA, regarding in-person classes at AIPI for Fall 2021?","Students in Durham, NC, USA, are expected to attend in-person classes at AIPI for Fall 2021 unless isolating."
"4. Why do F-1 visa holders need to take at least one in-person class per semester according to the US government guidance?","F-1 visa holders need to take at least one in-person class per semester to comply with US government guidance to maintain their visa status, as attending in-person classes is a requirement for maintaining their F-1 student visa."
"5. Where can students find the academic calendar and more information about Fall 2021 classes at AIPI?","Students can find the academic calendar and more information about Fall 2021 classes at AIPI on the AIPI student website."
"1. What is the current process for designating elective tracks in the AIPI program at Duke University?","The current process for designating elective tracks in the AIPI program at Duke University is informal. Students are not required to stick to one track and can freely choose electives that align with their professional goals. Changing elective tracks does not require formal action, but students are encouraged to consult with the program director for guidance."
"2. Are students at Duke University's AIPI program required to stick to one elective track, or can they freely select courses aligned with their professional goals?","Students in Duke University's AIPI program are not required to stick to one elective track. Instead, they can freely select courses that align with their professional goals. Changing elective tracks does not require formal action, but students are advised to consult with the program director for guidance."
"3. How do students go about changing elective tracks in the AIPI program, based on the information provided in the text?","Based on the information provided in the text, students can change elective tracks in the AIPI program at Duke University without requiring a formal action. They are advised to consult with the program director for guidance when considering changing their elective tracks. This consultation is likely aimed at helping students make informed decisions that align with their professional goals."
"4. Is there a formal procedure in place for students to follow when switching elective tracks in the AIPI program, or is consultation with the program director sufficient?","The summary provided indicates that there is no formal procedure required for students to switch elective tracks in the AIPI program at Duke University. Instead, students are advised to consult with the program director for guidance when changing elective tracks."
"5. How does the flexibility in selecting elective courses benefit students in the AIPI program at Duke University?","The flexibility in selecting elective courses benefits students in the AIPI program at Duke University by allowing them to tailor their educational experience to align with their professional goals. This flexibility enables students to explore different interests, gain a broader range of skills, and customize their learning experience based on their career aspirations. Additionally, the ability to switch elective tracks without a formal process provides students with the freedom to adapt their curriculum to their evolving interests and goals throughout their academic journey. Consulting with the program director for guidance ensures that students receive support and advice to make informed decisions that align with their academic and professional objectives. Ultimately, this flexibility empowers students to take ownership of their education and create a personalized learning path that best suits their individual needs."
"1. How can students access the self-service tool Stellic to track their degree progress?","Students can access the self-service tool called Stellic to track their degree progress by using the Stellic platform, which is likely available through the university's website or student portal."
"2. What are the benefits of using Stellic for course planning and staying on track for graduation?","The benefits of using Stellic for course planning and staying on track for graduation include: \n  \n 1. Easily tracking degree progress: Stellic allows students to monitor their progress towards completing their degree requirements, making it easier to stay on track for graduation. \n  \n 2. Efficient course planning: Students can use Stellic to plan their courses in advance, ensuring they are taking the right classes at the right time to meet their degree requirements. \n  \n 3. Graduating within two or three semesters: By using Stellic to plan their courses effectively, students are encouraged to stay on track and complete their degree within a shorter timeframe. \n  \n Overall, using Stellic can help students stay organized, make informed decisions about their course selection, and ultimately graduate in a timely manner."
"3. What options does Stellic offer for students to plan their courses and complete their degree within two or three semesters?","Stellic offers students the option to track their degree progress and plan their courses to stay on track for graduation within two or three semesters."
"4. How do tuition and fees for auditing courses differ for Campus Program students and Online students?","The summary indicates that there are different charges for auditing courses based on whether the student is a Campus Program student or an Online student. Campus Program students and Online students are charged different tuition and fees for auditing courses."
"5. What other resources or information does the text provide for students using the Stellic tool?","The text also provides information on tuition and fees for auditing courses, with different charges for Campus Program students and Online students."
"1. What payment arrangement is automatically set up for Engineering and Certificate students according to the text?","Engineering and Certificate students are automatically set up for per-credit payments, according to the text."
"2. How can the tuition billing basis be adjusted for part-time students as mentioned in the text?","For part-time students, the tuition billing basis can be changed from per-semester to per-credit as mentioned in the text."
"3. What is the typical financial situation for most AIPI students, based on the information provided in the text?","Based on the information provided in the text, the typical financial situation for most AIPI students is that they pay their own tuition costs as it is a professional degree program."
"4. Are financial aid options available for students in the AIPI program?","Yes, financial aid options are available for students in the AIPI program."
"5. How do part-time students differ from full-time students in terms of tuition payment according to the text?","Part-time students differ from full-time students in terms of tuition payment because part-time students have the option to change their tuition billing basis from per-semester to per-credit, while full-time students are automatically set up for per-credit payments."
"1. What specific advice does the text give to students who will not be on campus during the Fall 2021 semester regarding student fees?","The text advises students who will not be on campus during the Fall 2021 semester to contact the Pratt Student Records Coordinator regarding student fees."
"2. How can students contact the Pratt Student Records Coordinator in relation to student fees?","Students who will not be on campus can contact the Pratt Student Records Coordinator regarding student fees by sending an email to the coordinator."
"3. What information does the text provide on securing a Teaching Assistant (TA) position on campus?","The text provides information on how students can secure a Teaching Assistant (TA) position on campus."
"4. In what ways has COVID-19 impacted the fees for the Fall 2021 semester, as mentioned in the text?","COVID-19 has impacted the fees for the Fall 2021 semester by necessitating students who will not be on campus to contact the Pratt Student Records Coordinator regarding student fees."
"5. For students interested in a TA position, are there any specific requirements or steps outlined in the text that they should follow?","Yes, the text provides information on how students can secure a Teaching Assistant (TA) position on campus, but it does not specifically mention any requirements or steps that students should follow to apply for the position. It would be advisable for students interested in a TA position to contact the appropriate department or faculty member at their institution for more information on specific requirements and application procedures."
"1. What are the requirements for students at Duke University to be on the university's payroll?","The requirement for students at Duke University to be on the university's payroll is to have a Social Security Number on file."
"2. How has the COVID-19 pandemic impacted the process of obtaining a Social Security Number for students intending to work on campus at Duke University?","The COVID-19 pandemic has caused delays in the process of obtaining a Social Security Number for students intending to work on campus at Duke University. As a result, students are advised to plan ahead and apply for a Social Security Number in advance if they wish to be on the university's payroll."
"3. What types of employment positions are available for students on campus at Duke University?","Various employment positions are available for students on campus at Duke University, including Teaching Assistantships, roles in campus libraries and departments, and research assistantships."
"4. When are research assistantship positions typically posted for students at Duke University, and how are they paid?","Research assistantship positions for students at Duke University are typically posted close to the beginning of each semester. These positions are paid hourly."
"5. What resource is recommended for students to find on-campus job opportunities at Duke University?","The recommended resource for students to find on-campus job opportunities at Duke University is DukeList."
"1. How can international students on F-1 visas navigate restrictions on off-campus work opportunities at Duke University?","International students on F-1 visas can navigate restrictions on off-campus work opportunities at Duke University by exploring on-campus work options. Additionally, they can seek employment opportunities through resources like DukeList. It is also important for international students to be aware of the regulations governing off-campus work for F-1 visa holders and ensure compliance with those rules."
"2. What resources does the text suggest for international students seeking on-campus employment options at Duke University?","The text suggests on-campus work options for international students at Duke University."
"3. How does the text recommend finding a roommate at Duke University for students who don't know anyone on campus?","The text recommends finding a roommate for students who don't know anyone at Duke University by utilizing resources such as DukeList and the International Hou."
"4. What are the benefits of using DukeList for student employment and roommate searches at Duke University?","The benefits of using DukeList for student employment and roommate searches at Duke University include easy access to various employment opportunities specifically tailored for students at Duke, a central platform to connect with potential roommates who may share similar preferences or needs, and a convenient resource recommended by the text for finding both job opportunities and housing arrangements within the university community."
"5. In what ways can DukeList and International Hou help students enhance their university experience at Duke University outside of academics?","DukeList and International Hou can help students enhance their university experience at Duke University outside of academics by providing opportunities to find student employment, connect with potential roommates, and navigate relevant campus policies, such as restrictions on off-campus work for international students. DukeList offers a centralized platform for students to explore various employment opportunities within the university, while also serving as a resource for finding roommates. On the other hand, International Hou specifically focuses on facilitating international students' housing needs, creating a supportive community for those who may be unfamiliar with the area and helping them navigate housing options on and off campus. Overall, these resources can contribute to a more well-rounded and fulfilling university experience by aiding students in practical aspects of student life beyond their academic pursuits."
"1. How does DukeList facilitate communication among the Duke University community regarding housing, roommates, and ride-sharing?","DukeList facilitates communication among the Duke University community regarding housing, roommates, and ride-sharing by providing a forum where students, faculty, and staff can share information on these topics. Users can post about available apartments, search for roommates, and coordinate ride-sharing arrangements within the Duke community through the platform. This allows members of the Duke community to connect with each other to address their housing, roommate, and transportation needs conveniently."
"2. What resources are available on DukeList for individuals interested in getting involved in student activities and clubs at Duke?","The resources available on DukeList for individuals interested in getting involved in student activities and clubs at Duke include the AIPI student website and the Duke Event Calendar."
"3. How can international students facing visa application delays due to COVID-19 find support through the information provided in the text?","International students facing visa application delays due to COVID-19 can find support through the information provided in the text by accessing guidance that the text offers for dealing with such delays. The text mentions that there is guidance available for international students in this situation, which may help them navigate the challenges they are experiencing with their visa applications."
"4. What specific platforms or websites are highlighted in the text for Duke students to explore for additional engagement opportunities?","The specific platforms or websites highlighted in the text for Duke students to explore for additional engagement opportunities are the AIPI student website and the Duke Event Calendar."
"5. Can you elaborate on the role of Duke Event Calendar in helping students, faculty, and staff stay informed about upcoming events and activities at the university?","Certainly! The Duke Event Calendar serves as a centralized platform for students, faculty, and staff to stay informed about upcoming events and activities at the university. It provides a comprehensive listing of various events taking place on the campus, including academic lectures, social gatherings, club meetings, and other activities. By regularly checking the Duke Event Calendar, individuals can plan their schedules accordingly, stay engaged with the university community, and explore opportunities to participate in different events that cater to their interests. This resource plays a crucial role in enhancing communication and promoting a sense of community among Duke members by facilitating access to a wide range of campus happenings."
"1. What are the enrollment options available for Duke University students for Fall 2021 classes?","The enrollment options available for Duke University students for Fall 2021 classes are: \n  \n 1. Enroll for up to one year. \n 2. Take hybrid courses if they can arrive within 30 days of the first day of class. \n 3. Enroll in all online courses and join campus in Spring 2022."
"2. How soon do students need to arrive on campus to be eligible for hybrid courses at Duke University?","Students need to arrive on campus within 30 days of the first day of class to be eligible for hybrid courses at Duke University."
"3. How is Duke University accommodating students who are unable to travel to the US for the Fall 2021 semester?","Duke University is accommodating students who are unable to travel to the US for the Fall 2021 semester by offering hybrid format courses. These courses allow students to participate in their classes even if they cannot physically be on campus. Additionally, students in the AIPI Program can register for either hybrid courses (if they can arrive by September 22) or online courses (if they cannot travel)."
"4. What is the deadline for students in the AIPI Program to decide between hybrid and online courses at Duke University?","The deadline for students in the AIPI Program to decide between hybrid and online courses at Duke University is September 22."
"5. How does enrolling in all online courses for Fall 2021 at Duke University affect a student's opportunity to join campus in Spring 2022?","Enrolling in all online courses for Fall 2021 at Duke University allows a student to defer joining the campus until Spring 2022. This option is available as part of the university's flexibility for students who are unable to travel to the US immediately. Students who opt for online courses in the fall can join the campus in Spring 2022, giving them more time to make the necessary arrangements for their arrival."
"1. What is the deadline for students on F-1 visas to arrive in the US for the Fall 2021 semester?","The deadline for students on F-1 visas to arrive in the US for the Fall 2021 semester is September 22."
"2. How should students on F-1 visas proceed if they are unable to arrive in the US by September 22 for the Fall 2021 semester?","If students on F-1 visas are unable to arrive in the US by September 22 for the Fall 2021 semester, they should continue their classes online for the semester."
"3. Can students on F-1 visas enroll in Hybrid classes if they arrive between September 3 and 22 for the Fall 2021 semester?","Yes, students on F-1 visas can enroll in Hybrid classes if they arrive between September 3 and 22 for the Fall 2021 semester."
"4. What are Hybrid classes and how do they accommodate students on F-1 visas during the Fall 2021 semester?","Hybrid classes are a combination of in-person and online instruction. They accommodate students on F-1 visas during the Fall 2021 semester by allowing them to start the semester online and transition to in-person classes when they arrive in the US between September 3 and 22. If students are unable to arrive by September 22, they can continue with their classes online for the semester. This flexibility helps F-1 visa students manage their arrival to the US and academic obligations effectively."
"5. Who should students contact for other visa-related questions at Duke Visa Services for the Fall 2021 semester?","Students should contact Betty Henderson at Duke Visa Services for other visa-related questions during the Fall 2021 semester."
"1. Why might a Pratt student need to contact the Visa Services Advisor?","A Pratt student might need to contact the Visa Services Advisor for assistance with issues related to their visa status, visa applications, maintaining legal status, resolving visa-related problems, understanding visa regulations, or seeking guidance on matters such as work authorizations or extensions."
"2. How can Pratt students reach out to the Pratt Student Records Coordinator for visa-related inquiries?","Pratt students can reach out to the Pratt Student Records Coordinator for visa-related inquiries by using the contact information provided in the text."
"3. What is the significance of setting up a NetID for new students at Pratt?","Setting up a NetID is significant for new students at Pratt because it allows them to access their Duke email. This email address is often the primary mode of communication between the university and the students, providing important information, updates, and resources. Additionally, the NetID gives access to various online platforms and services offered by the university, enabling students to stay connected, engaged, and informed during their time at Pratt."
"4. Can you explain the process of accessing Duke email for new students as outlined in the text?","Certainly! The text explains that new students need to set up a NetID in order to access their Duke email. The process likely involves creating a NetID through the university's online systems and then using that NetID to log in to the Duke email platform. Additional steps may include setting up a password and security measures to ensure the privacy and security of the email account. It's recommended to refer to the specific instructions provided by the university for detailed guidance on setting up and accessing Duke email for new students."
"5. How do the services provided by the Visa Services Advisor and Student Records Coordinator contribute to the overall experience of international students at Pratt?","The services provided by the Visa Services Advisor and Student Records Coordinator contribute significantly to the overall experience of international students at Pratt by offering essential support and guidance regarding visa-related matters. International students can rely on these resources to navigate the complex visa process, get answers to their questions, and ensure they are in compliance with visa regulations. Having access to dedicated advisors and coordinators not only helps international students feel supported and informed but also enables them to focus on their studies and transition smoothly into campus life at Pratt."
"1. What are some recommended areas for students to brush up on before starting Duke's AI Master of Engineering program?","Based on the summary provided, some recommended areas for students to brush up on before starting Duke's AI Master of Engineering program include Python programming and math skills. Students are advised to enhance their proficiency in these areas to better prepare for the program's strong technical focus in applied AI and machine learning."
"2. How does Duke's AI Master of Engineering program cater to students with diverse academic backgrounds and industry experience?","Duke's AI Master of Engineering program caters to students with diverse academic backgrounds and industry experience by welcoming students from various fields and experiences. The program acknowledges that some students may have programming and math backgrounds, while others come from different fields or have industry experience. To accommodate this diversity, the program advises students to brush up on Python programming and math skills before the start of the semester. This approach helps ensure that all students have the foundational skills needed to succeed in the program, regardless of their academic background or prior experience."
"3. In what way is Python programming emphasized in the preparation for the AI Master of Engineering program at Duke?","Python programming is emphasized in the preparation for the AI Master of Engineering program at Duke as students are advised to brush up on their Python programming skills before the start of the semester. This indicates that having proficiency in Python programming is important for the program, as it is likely to be used extensively throughout the coursework."
"4. How does the text describe the technical focus of Duke's AI Master of Engineering program in relation to applied AI and machine learning?","The text describes Duke's AI Master of Engineering program as having a strong technical focus in applied AI and machine learning. This means that the program emphasizes practical, real-world applications of artificial intelligence and machine learning techniques rather than theoretical concepts."
"5. What distinguishes the AI Master of Engineering program at Duke, according to the information provided?","According to the information provided, what distinguishes the AI Master of Engineering program at Duke is its strong technical focus on applied AI and machine learning. The program is known for providing students with a comprehensive understanding of these subjects, while also accommodating individuals from various backgrounds by advising them to brush up on Python programming and math skills before the start of the program."
"1. What kind of skills does the AI and machine learning program at Duke University aim to teach its participants?","The AI and machine learning program at Duke University aims to teach its participants skills in designing and developing machine learning systems, applying traditional and deep learning models, building full-stack software applications, and deploying software applications in production."
"2. How do graduates of the program typically apply their knowledge in AI and machine learning in their careers?","Graduates of the program typically apply their knowledge in AI and machine learning by working in various industries and some even start their own entrepreneurial ventures. They focus on designing and developing machine learning systems, applying traditional and deep learning models, building full-stack software applications, and deploying software applications in production. This allows them to have a hands-on career in AI and use their skills to create AI-powered software products."
"3. In what industries do graduates of the program usually find employment opportunities?","Graduates of the program at Duke University that teaches skills in AI and machine learning typically find employment opportunities in various industries such as tech, finance, healthcare, manufacturing, and startups."
"4. How does the program at Duke University differentiate itself from other AI and machine learning programs?","The program at Duke University differentiates itself from other AI and machine learning programs by focusing on teaching skills specifically related to designing and building AI-powered software products. Graduates of the program are prepared to work in various industries or start their own entrepreneurial ventures, and they learn to design and develop machine learning systems, apply traditional and deep learning models, build full-stack software applications, and deploy software applications in production. It is particularly ideal for individuals with a background in engineering, science, or technology who are seeking a hands-on career in AI."
"5. What type of background is considered ideal for aspiring professionals who want to pursue a career in AI through this program?","Aspiring professionals who want to pursue a career in AI through this program are considered ideal if they have a background in engineering, science, or technology."
"1. How was the core curriculum at Duke University developed and what sets it apart from other programs?","The core curriculum at Duke University was developed in collaboration with the industry to ensure that graduates acquire practical experience in AI and machine learning. This collaborative approach sets it apart from other programs by providing students with real-world skills and industry insights. In addition to hands-on projects, students also benefit from top faculty advising, further enhancing their educational experience. The program offers flexibility in completing the degree, allowing students to choose from on-campus options of 12 or 16 months or online part-time completion in 24 months."
"2. In what ways does the industry collaborate with Duke to shape the curriculum, and how does this benefit students?","The industry collaborates with Duke to shape the curriculum by providing insights into the latest trends, technologies, and challenges in the field of AI and machine learning. This collaboration ensures that the curriculum is aligned with real-world industry needs and prepares students with the skills and knowledge required for success in the workforce. \n  \n Benefits for students include: \n  \n 1. Real-world relevance: By incorporating industry input, the curriculum remains up-to-date and relevant, reflecting the latest advancements in AI and machine learning. \n  \n 2. Practical experience: Working on hands-on projects allows students to apply theoretical concepts in real-world scenarios, enhancing their practical skills and understanding. \n  \n 3. Industry connections: Collaborating with industry experts provides students with networking opportunities, potential internships, and pathways to job placements after graduation. \n  \n 4. Top faculty advising: Having guidance from top faculty who are well-connected in the industry ensures that students receive mentorship and advice based on industry insights and experience. \n  \n Overall, the collaboration between the industry and Duke benefits students by equipping them with practical skills, real-world experience, relevant knowledge, and valuable industry connections to enhance their educational experience and career prospects."
"3. How are students at Duke University provided with real-world experience in AI and machine learning through their coursework?","Students at Duke University are provided with real-world experience in AI and machine learning through their coursework by working on hands-on projects developed in collaboration with industry partners. This practical approach helps them gain valuable experience and skills that are directly applicable in real-world scenarios. Additionally, students receive advising from top faculty members who are experts in the field, further enhancing their learning experience and preparation for the industry."
"4. What types of hands-on projects do students work on as part of the program, and how do these projects contribute to their learning experience?","Students in the Duke program work on hands-on projects focusing on AI and machine learning. These projects provide practical application of the theoretical concepts learned in the classroom and offer students real-world experience in tackling industry-relevant problems. By working on these projects, students develop valuable skills in problem-solving, critical thinking, and data analysis, all of which are essential for success in the field of AI and machine learning. Additionally, these hands-on projects allow students to showcase their abilities to potential employers and build a strong portfolio of work that demonstrates their proficiency in the subject matter."
"5. What are the different options available for students to complete their degree at Duke University, and how does the flexibility in program duration cater to various needs?","At Duke University, students have the flexibility to complete their degree in different ways which cater to their individual needs. The options available are: \n  \n 1. Completing the degree on campus in 12 months. \n 2. Completing the degree on campus in 16 months. \n 3. Completing the degree online part-time in 24 months. \n  \n By offering these different program durations, Duke University accommodates various needs of students who may prefer a quicker pace with the 12-month option, a slightly more extended timeline with the 16-month option, or the flexibility of online learning with the part-time 24-month option. This flexibility allows students to choose a program duration that aligns best with their personal commitments, learning style, and career goals."
"1. What are the different accelerated options available for obtaining a master's degree in Artificial Intelligence mentioned in the text?","The different accelerated options for obtaining a master's degree in Artificial Intelligence mentioned in the text include: \n 1. A more affordable two-semester program \n 2. A 16-month standard track for more flexibility \n 3. A 4+1 program for Duke undergraduates to complete both degrees in five years \n 4. A dual degree program for medical students to complete the degree during their third year"
"2. How can Duke undergraduates complete both a bachelor's and a master's degree in Artificial Intelligence in just five years?","Duke undergraduates can complete both a bachelor's and a master's degree in Artificial Intelligence in just five years through the 4+1 program offered by the university."
"3. What type of scholarships are available for some of the accelerated master's degree programs in Artificial Intelligence?","Scholarships covering 20 percent of the costs are available for some of the accelerated master's degree programs in Artificial Intelligence mentioned in the summary."
"4. How long does it take for medical students in the dual degree program to complete their master's degree in Artificial Intelligence?","Medical students in the dual degree program can complete their master's degree in Artificial Intelligence during their third year."
"5. Can you explain the differences between the two-semester program and the 16-month standard track for obtaining a master's degree in Artificial Intelligence?","The main differences between the two-semester program and the 16-month standard track for obtaining a master's degree in Artificial Intelligence are the duration and flexibility.  \n  \n 1. Two-Semester Program: This option is a more accelerated program that can be completed in just two semesters. It is designed for students who want to obtain their master's degree quickly. This program may have a more intense workload due to the shorter timeframe for completion. \n  \n 2. 16-Month Standard Track: This option is spread out over a longer duration of 16 months, providing students with more flexibility and potentially a lighter workload compared to the two-semester program. The additional time allows for a more balanced approach to completing the coursework and may be more suitable for students who prefer a less intensive study pace."
